Row Labels,ProductCombo,,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1074,8010,8017,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1077,2017,8017,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1080,2800,7740,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1082,2050,6110,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1084,2560,5700,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1086,2320,7660,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1088,2010,7667,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1092,8700,8720,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1093,1900,2010,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1095,2017,6137,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1097,7820,7827,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1100,2010,6110,7780,7790,,,,,,,,,,,,,,,,,,,,,,,
191567910-1102,2130,2760,4750,6130,7900,7960,,,,,,,,,,,,,,,,,,,,,
191567910-1103,1900,2010,7870,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1104,7710,7820,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1105,4900,6002,6007,6200,,,,,,,,,,,,,,,,,,,,,,,
191567910-1108,3400,6137,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1109,1710,1720,7770,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1111,7610,7740,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1115,6002,6110,,,,,,,,,,,,,,,,,,,,,,,,,
19156791027,2010,7610,7650,,,,,,,,,,,,,,,,,,,,,,,,
19156791029,7730,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156791030,1350,2760,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156791034,1150,1560,,,,,,,,,,,,,,,,,,,,,,,,,
19156791037,6207,6240,7777,,,,,,,,,,,,,,,,,,,,,,,,
19156791039,6100,6117,7900,,,,,,,,,,,,,,,,,,,,,,,,
19156791040,1900,6000,6130,6240,,,,,,,,,,,,,,,,,,,,,,,
19156791041,6130,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156791043,3409,7699,7789,,,,,,,,,,,,,,,,,,,,,,,,
19156791044,4960,6110,,,,,,,,,,,,,,,,,,,,,,,,,
19156791046,4800,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156791048,4707,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156791050,2049,3409,4757,,,,,,,,,,,,,,,,,,,,,,,,
19156791052,1159,3409,8709,8739,8750,,,,,,,,,,,,,,,,,,,,,,
19156791054,2010,7860,7910,,,,,,,,,,,,,,,,,,,,,,,,
19156791055,2010,2759,4707,,,,,,,,,,,,,,,,,,,,,,,,
19156791056,2049,9109,9189,,,,,,,,,,,,,,,,,,,,,,,,
19156791057,2010,4820,,,,,,,,,,,,,,,,,,,,,,,,,
19156791063,1900,2040,3600,,,,,,,,,,,,,,,,,,,,,,,,
19156791067,3709,6207,7639,7719,7777,7847,9109,9119,9129,,,,,,,,,,,,,,,,,,
19156791069,1869,2809,3259,3409,7619,7689,7699,7749,7770,7847,,,,,,,,,,,,,,,,,
19156791070,1059,1469,2019,3259,6207,7749,,,,,,,,,,,,,,,,,,,,,
19156791071,7710,7740,7900,,,,,,,,,,,,,,,,,,,,,,,,
19156791072,1720,3500,,,,,,,,,,,,,,,,,,,,,,,,,
19156791073,7630,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156791076,1907,2017,7769,,,,,,,,,,,,,,,,,,,,,,,,
19156791077,7670,8010,91670,,,,,,,,,,,,,,,,,,,,,,,,
19156791079,4970,7780,7960,,,,,,,,,,,,,,,,,,,,,,,,
19156791080,1710,7690,7780,8010,,,,,,,,,,,,,,,,,,,,,,,
19156791083,4910,7660,,,,,,,,,,,,,,,,,,,,,,,,,
19156791084,2010,7830,,,,,,,,,,,,,,,,,,,,,,,,,
19156791088,7800,7820,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156791089,1051,1860,,,,,,,,,,,,,,,,,,,,,,,,,
19156791091,3359,7717,7720,,,,,,,,,,,,,,,,,,,,,,,,
19156791092,1907,2017,5900,7820,7837,7860,,,,,,,,,,,,,,,,,,,,,
19156791094,1907,2017,5900,7820,7837,7860,,,,,,,,,,,,,,,,,,,,,
19156791095,6000,6100,6130,,,,,,,,,,,,,,,,,,,,,,,,
19156791098,2560,7730,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156791100,1460,1860,2800,6107,7640,,,,,,,,,,,,,,,,,,,,,,
19156791103,1350,5800,6100,6200,,,,,,,,,,,,,,,,,,,,,,,
19156791105,2017,5709,,,,,,,,,,,,,,,,,,,,,,,,,
19156791106,6000,9129,,,,,,,,,,,,,,,,,,,,,,,,,
19156791107,6117,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156791108,7620,7630,7770,,,,,,,,,,,,,,,,,,,,,,,,
19156791110,4707,9169,9179,9189,,,,,,,,,,,,,,,,,,,,,,,
19156791111,6100,6200,7690,,,,,,,,,,,,,,,,,,,,,,,,
19156791112,6000,7690,7760,7790,7800,,,,,,,,,,,,,,,,,,,,,,
19156791113,1350,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156791114,1001,7690,7810,,,,,,,,,,,,,,,,,,,,,,,,
19156791115,4800,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156791118,1050,1250,2010,9170,,,,,,,,,,,,,,,,,,,,,,,
19156791119,2017,4970,7647,7687,7697,7900,,,,,,,,,,,,,,,,,,,,,
19156791120,7980,9180,,,,,,,,,,,,,,,,,,,,,,,,,
19156791121,3600,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156791124,2040,3600,,,,,,,,,,,,,,,,,,,,,,,,,
19156791126,1001,1620,3400,,,,,,,,,,,,,,,,,,,,,,,,
19156791127,5570,5700,7820,8740,,,,,,,,,,,,,,,,,,,,,,,
19156791128,7737,7740,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156791129,2049,2059,7669,7777,7829,,,,,,,,,,,,,,,,,,,,,,
19156791130,9159,9170,9189,,,,,,,,,,,,,,,,,,,,,,,,
19156791132,1860,3100,7600,7670,7810,,,,,,,,,,,,,,,,,,,,,,
19156791133,7900,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156791134,1900,2040,,,,,,,,,,,,,,,,,,,,,,,,,
19156791136,7860,7880,7969,,,,,,,,,,,,,,,,,,,,,,,,
19156791138,7760,7820,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156791145,7710,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156791146,2017,7760,7837,,,,,,,,,,,,,,,,,,,,,,,,
19156791151,5570,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156791152,6217,8730,,,,,,,,,,,,,,,,,,,,,,,,,
19156791153,3700,7620,,,,,,,,,,,,,,,,,,,,,,,,,
19156791154,1350,7740,7860,7980,9180,,,,,,,,,,,,,,,,,,,,,,
19156791155,7740,7760,7860,7910,,,,,,,,,,,,,,,,,,,,,,,
19156791156,2040,3100,7770,7820,,,,,,,,,,,,,,,,,,,,,,,
19156791157,1620,7840,,,,,,,,,,,,,,,,,,,,,,,,,
19156791160,1350,7770,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156791161,4127,7710,,,,,,,,,,,,,,,,,,,,,,,,,
19156791162,1907,2017,4757,7620,,,,,,,,,,,,,,,,,,,,,,,
19156791163,1569,7687,7779,7847,7867,7910,7980,,,,,,,,,,,,,,,,,,,,
19156791168,2009,2010,2059,,,,,,,,,,,,,,,,,,,,,,,,
19156791170,2010,7780,,,,,,,,,,,,,,,,,,,,,,,,,
19156791171,7600,7670,,,,,,,,,,,,,,,,,,,,,,,,,
19156791172,1710,6007,6130,6137,7770,7779,,,,,,,,,,,,,,,,,,,,,
19156791178,2010,6100,6107,7740,,,,,,,,,,,,,,,,,,,,,,,
19156791181,1620,8500,,,,,,,,,,,,,,,,,,,,,,,,,
19156791187,7910,9100,,,,,,,,,,,,,,,,,,,,,,,,,
19156791190,3409,7769,8529,8709,,,,,,,,,,,,,,,,,,,,,,,
19156791192,5500,6110,6210,,,,,,,,,,,,,,,,,,,,,,,,
19156791195,2010,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791196,3600,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156791201,1620,2010,3500,5700,,,,,,,,,,,,,,,,,,,,,,,
19156791210,7720,7760,7880,7900,9100,,,,,,,,,,,,,,,,,,,,,,
19156791211,3600,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791212,2010,2050,,,,,,,,,,,,,,,,,,,,,,,,,
19156791213,1350,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156791214,6007,7790,,,,,,,,,,,,,,,,,,,,,,,,,
19156791215,6207,7827,9109,,,,,,,,,,,,,,,,,,,,,,,,
19156791216,2010,7630,,,,,,,,,,,,,,,,,,,,,,,,,
19156791217,2040,7870,7960,,,,,,,,,,,,,,,,,,,,,,,,
19156791218,1900,7810,8010,,,,,,,,,,,,,,,,,,,,,,,,
19156791221,7900,8700,,,,,,,,,,,,,,,,,,,,,,,,,
19156791222,3400,7610,7660,7800,,,,,,,,,,,,,,,,,,,,,,,
19156791223,7850,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156791224,1151,7639,7969,,,,,,,,,,,,,,,,,,,,,,,,
19156791225,2320,2329,3359,7630,7639,7779,7827,7829,8737,,,,,,,,,,,,,,,,,,
19156791226,3500,9100,9140,,,,,,,,,,,,,,,,,,,,,,,,
19156791229,7749,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791231,4970,7610,7710,,,,,,,,,,,,,,,,,,,,,,,,
19156791233,1050,1860,,,,,,,,,,,,,,,,,,,,,,,,,
19156791235,1151,6130,,,,,,,,,,,,,,,,,,,,,,,,,
19156791236,2010,7610,7630,7650,7760,,,,,,,,,,,,,,,,,,,,,,
19156791243,5900,7629,,,,,,,,,,,,,,,,,,,,,,,,,
19156791246,2010,7650,,,,,,,,,,,,,,,,,,,,,,,,,
19156791247,7790,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156791248,2560,9140,,,,,,,,,,,,,,,,,,,,,,,,,
19156791250,1151,8710,,,,,,,,,,,,,,,,,,,,,,,,,
19156791251,2560,7760,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156791252,6100,7810,,,,,,,,,,,,,,,,,,,,,,,,,
19156791253,2010,4750,4757,6000,,,,,,,,,,,,,,,,,,,,,,,
19156791261,2017,7697,,,,,,,,,,,,,,,,,,,,,,,,,
19156791263,2759,3409,7697,7860,7900,7960,7980,9189,,,,,,,,,,,,,,,,,,,
19156791264,1350,3400,6200,,,,,,,,,,,,,,,,,,,,,,,,
19156791266,4120,7780,,,,,,,,,,,,,,,,,,,,,,,,,
19156791267,2759,3409,7697,7860,7900,7960,7980,9189,,,,,,,,,,,,,,,,,,,
19156791273,7770,7820,7840,8730,,,,,,,,,,,,,,,,,,,,,,,
19156791275,3700,9159,9180,,,,,,,,,,,,,,,,,,,,,,,,
19156791276,2010,7650,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156791277,2040,7780,7820,7980,,,,,,,,,,,,,,,,,,,,,,,
19156791278,7730,7770,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156791279,3500,7860,,,,,,,,,,,,,,,,,,,,,,,,,
19156791280,2010,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156791282,1350,2010,6000,,,,,,,,,,,,,,,,,,,,,,,,
19156791283,4700,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156791285,6000,6110,7830,8700,8730,,,,,,,,,,,,,,,,,,,,,,
19156791286,1900,3400,7600,7640,7860,7980,,,,,,,,,,,,,,,,,,,,,
19156791287,7620,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156791288,2800,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156791292,3400,6110,6210,,,,,,,,,,,,,,,,,,,,,,,,
19156791293,4890,7910,,,,,,,,,,,,,,,,,,,,,,,,,
19156791294,6000,7730,,,,,,,,,,,,,,,,,,,,,,,,,
19156791296,3100,3350,7790,7830,,,,,,,,,,,,,,,,,,,,,,,
19156791297,1460,1860,2040,7770,8730,8740,,,,,,,,,,,,,,,,,,,,,
19156791300,8700,8730,,,,,,,,,,,,,,,,,,,,,,,,,
19156791304,1350,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156791305,1150,2560,7969,9189,,,,,,,,,,,,,,,,,,,,,,,
19156791307,2010,6000,9159,9169,9179,9189,,,,,,,,,,,,,,,,,,,,,
19156791309,2017,7760,7779,7867,7870,7980,,,,,,,,,,,,,,,,,,,,,
19156791310,1109,7830,9170,,,,,,,,,,,,,,,,,,,,,,,,
19156791311,1159,1359,,,,,,,,,,,,,,,,,,,,,,,,,
19156791314,4970,7740,7760,7780,7860,8017,,,,,,,,,,,,,,,,,,,,,
19156791315,3500,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156791316,7720,7780,7960,,,,,,,,,,,,,,,,,,,,,,,,
19156791319,5700,7690,7960,,,,,,,,,,,,,,,,,,,,,,,,
19156791321,7640,7660,7710,7770,7827,,,,,,,,,,,,,,,,,,,,,,
19156791323,2010,4077,7600,,,,,,,,,,,,,,,,,,,,,,,,
19156791324,6107,7729,7740,,,,,,,,,,,,,,,,,,,,,,,,
19156791326,7740,7780,7800,8720,,,,,,,,,,,,,,,,,,,,,,,
19156791330,2017,5209,5500,6000,7720,7847,,,,,,,,,,,,,,,,,,,,,
19156791334,1150,3359,7827,,,,,,,,,,,,,,,,,,,,,,,,
19156791336,3600,6200,7840,7870,,,,,,,,,,,,,,,,,,,,,,,
19156791337,7779,7780,7830,7980,,,,,,,,,,,,,,,,,,,,,,,
19156791338,3359,4707,6000,6200,7749,7830,,,,,,,,,,,,,,,,,,,,,
19156791339,1151,2010,2759,6110,,,,,,,,,,,,,,,,,,,,,,,
19156791340,2010,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156791341,5900,7659,7699,8720,,,,,,,,,,,,,,,,,,,,,,,
19156791343,2017,7829,,,,,,,,,,,,,,,,,,,,,,,,,
19156791345,1560,8740,,,,,,,,,,,,,,,,,,,,,,,,,
19156791346,1050,1250,1860,2010,4830,7800,7870,,,,,,,,,,,,,,,,,,,,
19156791348,2320,7690,7960,8720,,,,,,,,,,,,,,,,,,,,,,,
19156791350,1900,7670,,,,,,,,,,,,,,,,,,,,,,,,,
19156791354,1151,3400,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156791355,1350,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791356,1150,1350,3400,7760,7779,,,,,,,,,,,,,,,,,,,,,,
19156791357,7740,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156791358,1620,9120,,,,,,,,,,,,,,,,,,,,,,,,,
19156791359,2050,5700,6117,6240,7647,7760,,,,,,,,,,,,,,,,,,,,,
19156791360,2010,7690,7770,,,,,,,,,,,,,,,,,,,,,,,,
19156791364,3100,7770,7837,7900,7960,,,,,,,,,,,,,,,,,,,,,,
19156791367,6130,6200,7610,7760,7770,7960,,,,,,,,,,,,,,,,,,,,,
19156791370,6000,7690,,,,,,,,,,,,,,,,,,,,,,,,,
19156791373,2330,4600,8510,8700,8710,91660,,,,,,,,,,,,,,,,,,,,,
19156791374,2010,4960,5700,,,,,,,,,,,,,,,,,,,,,,,,
19156791375,9150,9170,,,,,,,,,,,,,,,,,,,,,,,,,
19156791377,4707,6000,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156791378,3257,7847,8017,,,,,,,,,,,,,,,,,,,,,,,,
19156791379,7690,9150,,,,,,,,,,,,,,,,,,,,,,,,,
19156791380,3400,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791386,2010,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791387,2050,7900,,,,,,,,,,,,,,,,,,,,,,,,,
19156791390,2040,7760,7779,7807,,,,,,,,,,,,,,,,,,,,,,,
19156791392,5560,5900,7850,,,,,,,,,,,,,,,,,,,,,,,,
19156791394,7600,7710,,,,,,,,,,,,,,,,,,,,,,,,,
19156791395,7770,7800,7827,9150,,,,,,,,,,,,,,,,,,,,,,,
19156791400,2040,9180,,,,,,,,,,,,,,,,,,,,,,,,,
19156791402,3400,6117,7770,,,,,,,,,,,,,,,,,,,,,,,,
19156791403,2017,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791404,7687,9110,9120,9139,,,,,,,,,,,,,,,,,,,,,,,
19156791405,1869,2017,2049,2759,2809,,,,,,,,,,,,,,,,,,,,,,
19156791407,1101,9150,,,,,,,,,,,,,,,,,,,,,,,,,
19156791408,2010,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791409,2010,7647,,,,,,,,,,,,,,,,,,,,,,,,,
19156791412,1860,3250,,,,,,,,,,,,,,,,,,,,,,,,,
19156791414,1051,1250,1460,2040,3100,7720,,,,,,,,,,,,,,,,,,,,,
19156791415,7770,9100,9150,9180,,,,,,,,,,,,,,,,,,,,,,,
19156791417,5900,7600,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156791418,1350,2017,3400,7730,7740,7760,92076,,,,,,,,,,,,,,,,,,,,
19156791426,3400,7779,,,,,,,,,,,,,,,,,,,,,,,,,
19156791427,7779,7827,,,,,,,,,,,,,,,,,,,,,,,,,
19156791430,1860,2010,2800,,,,,,,,,,,,,,,,,,,,,,,,
19156791431,1101,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156791432,4970,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156791433,1150,1151,,,,,,,,,,,,,,,,,,,,,,,,,
19156791435,1350,7640,7660,7690,7810,7827,,,,,,,,,,,,,,,,,,,,,
19156791437,4707,7900,,,,,,,,,,,,,,,,,,,,,,,,,
19156791438,2017,6137,7690,,,,,,,,,,,,,,,,,,,,,,,,
19156791439,1151,7690,7760,7770,7860,7980,,,,,,,,,,,,,,,,,,,,,
19156791440,7610,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791441,7770,7810,,,,,,,,,,,,,,,,,,,,,,,,,
19156791442,2017,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156791443,1350,2040,6000,,,,,,,,,,,,,,,,,,,,,,,,
19156791444,1219,1259,7670,7679,7710,7800,,,,,,,,,,,,,,,,,,,,,
19156791446,1350,6000,,,,,,,,,,,,,,,,,,,,,,,,,
19156791447,6000,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156791450,1900,7770,7910,,,,,,,,,,,,,,,,,,,,,,,,
19156791451,2010,2040,3700,7610,7770,,,,,,,,,,,,,,,,,,,,,,
19156791453,7699,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156791455,1250,2059,5209,,,,,,,,,,,,,,,,,,,,,,,,
19156791457,7780,7860,,,,,,,,,,,,,,,,,,,,,,,,,
19156791459,2010,7770,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156791461,1909,7719,7740,7770,7780,,,,,,,,,,,,,,,,,,,,,,
19156791462,5700,6240,7810,7820,,,,,,,,,,,,,,,,,,,,,,,
19156791465,1150,2049,2759,2809,3400,7769,7820,,,,,,,,,,,,,,,,,,,,
19156791466,2560,7780,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156791468,7740,9140,,,,,,,,,,,,,,,,,,,,,,,,,
19156791469,1350,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156791470,3100,7740,7770,7780,7820,7860,,,,,,,,,,,,,,,,,,,,,
19156791471,1350,2010,3400,6130,7740,,,,,,,,,,,,,,,,,,,,,,
19156791476,7660,7810,,,,,,,,,,,,,,,,,,,,,,,,,
19156791477,7789,7820,7969,,,,,,,,,,,,,,,,,,,,,,,,
19156791479,4757,6137,,,,,,,,,,,,,,,,,,,,,,,,,
19156791480,7640,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156791489,1860,7830,7960,,,,,,,,,,,,,,,,,,,,,,,,
19156791491,1860,3500,,,,,,,,,,,,,,,,,,,,,,,,,
19156791494,4170,9130,,,,,,,,,,,,,,,,,,,,,,,,,
19156791495,2010,7610,7690,7770,7850,,,,,,,,,,,,,,,,,,,,,,
19156791496,7610,7770,7910,7960,,,,,,,,,,,,,,,,,,,,,,,
19156791499,2010,6117,,,,,,,,,,,,,,,,,,,,,,,,,
19156791500,7710,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791504,2010,7840,,,,,,,,,,,,,,,,,,,,,,,,,
19156791506,4707,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156791508,7610,7740,7770,7820,,,,,,,,,,,,,,,,,,,,,,,
19156791509,3359,6110,7730,7779,7870,,,,,,,,,,,,,,,,,,,,,,
19156791510,3400,7740,7760,7820,8010,,,,,,,,,,,,,,,,,,,,,,
19156791511,1900,2010,7740,,,,,,,,,,,,,,,,,,,,,,,,
19156791513,2010,3400,7780,7860,8010,,,,,,,,,,,,,,,,,,,,,,
19156791514,2010,5700,7770,7807,,,,,,,,,,,,,,,,,,,,,,,
19156791515,7760,7830,,,,,,,,,,,,,,,,,,,,,,,,,
19156791518,3400,7740,7800,,,,,,,,,,,,,,,,,,,,,,,,
19156791520,2010,4850,7610,7640,7670,7830,91670,,,,,,,,,,,,,,,,,,,,
19156791521,7717,7760,7770,7827,7860,,,,,,,,,,,,,,,,,,,,,,
19156791522,5900,9100,9160,,,,,,,,,,,,,,,,,,,,,,,,
19156791526,1000,3400,7760,7830,,,,,,,,,,,,,,,,,,,,,,,
19156791528,2010,7830,,,,,,,,,,,,,,,,,,,,,,,,,
19156791529,7610,7820,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156791530,1151,2010,7610,7670,7740,7760,,,,,,,,,,,,,,,,,,,,,
19156791533,2800,3350,5560,5700,5900,7640,7840,7870,7960,,,,,,,,,,,,,,,,,,
19156791534,7610,7640,,,,,,,,,,,,,,,,,,,,,,,,,
19156791535,7820,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156791536,5900,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156791538,1560,2010,6100,7870,,,,,,,,,,,,,,,,,,,,,,,
19156791540,7610,7860,8010,,,,,,,,,,,,,,,,,,,,,,,,
19156791543,7770,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156791544,2049,4707,,,,,,,,,,,,,,,,,,,,,,,,,
19156791545,7739,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156791547,1560,3250,6210,7710,7770,7780,7820,9120,,,,,,,,,,,,,,,,,,,
19156791549,2017,7857,,,,,,,,,,,,,,,,,,,,,,,,,
19156791550,3400,7610,7740,7770,,,,,,,,,,,,,,,,,,,,,,,
19156791552,7739,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156791554,6000,7827,,,,,,,,,,,,,,,,,,,,,,,,,
19156791555,7610,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156791556,7610,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156791557,2010,8700,,,,,,,,,,,,,,,,,,,,,,,,,
19156791558,6107,7740,8700,8720,8740,,,,,,,,,,,,,,,,,,,,,,
19156791560,1620,2010,7710,7770,7980,,,,,,,,,,,,,,,,,,,,,,
19156791562,1860,2320,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156791563,1350,1907,2010,,,,,,,,,,,,,,,,,,,,,,,,
19156791564,2010,7770,7810,,,,,,,,,,,,,,,,,,,,,,,,
19156791565,2010,7640,7660,8010,,,,,,,,,,,,,,,,,,,,,,,
19156791566,6000,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156791567,7740,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156791568,2010,6000,7730,,,,,,,,,,,,,,,,,,,,,,,,
19156791569,4950,8750,,,,,,,,,,,,,,,,,,,,,,,,,
19156791570,1151,7830,,,,,,,,,,,,,,,,,,,,,,,,,
19156791573,7760,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156791575,3600,7610,7650,7710,7760,8700,,,,,,,,,,,,,,,,,,,,,
19156791577,1860,2010,7800,7820,7960,7980,8010,9139,,,,,,,,,,,,,,,,,,,
19156791578,1860,3400,7769,,,,,,,,,,,,,,,,,,,,,,,,
